school_server_code,Atomic Structure,Basic Astronomy,Ecosystem,English Beginner,English Elementary,Geometric Reasoning Part I,Geometric Reasoning Part II,Health and Disease,Linear Equations,Post-CLIx Survey,Pre-CLIx Survey,Proportional Reasoning,Reflecting on Values,Sound,Understanding Motion
rj31,18.0,17.0,3.0,4.0,10.0,8.0,8.0,2.0,1.0,4.0,22.0,31.0,3.0,1.0,4.0
rj22,1.0,18.0,0.0,11.0,6.0,30.0,19.0,5.0,8.0,0.0,2.0,0.0,3.0,3.0,14.0
rj4,5.0,19.0,0.0,33.0,11.0,12.0,2.0,4.0,4.0,0.0,0.0,1.0,1.0,5.0,22.0
rj58,39.0,0.0,3.0,2.0,0.0,0.0,0.0,45.0,0.0,0.0,1.0,27.0,0.0,0.0,0.0
rj27,12.0,30.0,7.0,9.0,2.0,17.0,6.0,3.0,2.0,0.0,13.0,7.0,2.0,1.0,6.0
rj10,3.0,3.0,3.0,9.0,8.0,12.0,10.0,3.0,19.0,0.0,16.0,10.0,2.0,6.0,2.0
rj81,2.0,5.0,1.0,12.0,4.0,0.0,0.0,11.0,28.0,0.0,8.0,0.0,1.0,2.0,30.0
rj15,25.0,25.0,0.0,13.0,4.0,3.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,2.0,3.0
rj91,0.0,0.0,20.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,15.0,0.0,16.0,1.0
rj62,16.0,1.0,0.0,17.0,1.0,0.0,0.0,17.0,0.0,0.0,17.0,1.0,0.0,0.0,0.0
rj47,12.0,1.0,0.0,22.0,14.0,9.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
rj84,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,26.0,0.0
rj36,0.0,23.0,0.0,1.0,1.0,5.0,2.0,5.0,7.0,0.0,4.0,0.0,0.0,0.0,3.0
rj79,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0
rj72,0.0,0.0,1.0,0.0,1.0,0.0,0.0,17.0,0.0,0.0,0.0,16.0,0.0,9.0,2.0
rj44,0.0,10.0,16.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0
rj18,0.0,1.0,0.0,11.0,3.0,1.0,0.0,0.0,0.0,0.0,23.0,1.0,0.0,0.0,0.0
rj64,0.0,1.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0
rj85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0
rj45,0.0,0.0,0.0,0.0,1.0,14.0,7.0,1.0,1.0,0.0,12.0,0.0,0.0,0.0,0.0
rj41,2.0,0.0,6.0,11.0,3.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,1.0,0.0,1.0
rj1,0.0,0.0,0.0,11.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0
rj32,0.0,0.0,0.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0
rj53,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0
rj63,0.0,0.0,0.0,17.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
rj23,0.0,4.0,0.0,1.0,2.0,3.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0
rj28,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
